id,price
Alameda,840000
Amador,330000
Butte,314750
Calaveras,306500
Contra-Costa,555000
Del Norte,198500
El Dorado,480000
Fresno,245450
Glenn,228500
Humboldt,300000
Kern,225500
Kings,238000
Lake,279000
Lassen,217750
Los Angeles,564100
Madera,275000
Marin,1317500
Mariposa,276500
Mendocino,425000
Merced,257000
Mono,480000
Monterey,571500
Napa,662000
Nevada,382000
Orange,780000
Placer,446000
Plumas,265950
Riverside,397250
Sacramento,350000
San Benito,555000
San Bernardino,277000
San Diego,590000
San Francisco,1330000
San Joaquin,350000
San Luis Obispo,565000
San Mateo,1437500
Santa Barbara,567000
Santa Clara,1170000
Santa Cruz,790000
Shasta,249000
Siskiyou,193000
Solano,425000
Sonoma,670000
Stanislaus,295000	
Sutter,284200
Tehama,227500
Tulare,215730
Tuolumne,265000
Ventura,660720
Yolo,383000
Yuba,265360
